% Model,model2.mph
% Version,COMSOL 6.1.0.357
% Date,"Jul 4 2023, 21:07"
% Dimension,1
% Nodes,5427
% Expressions,1
% Description,Global
% Integration 1 (mm);Integration 1
11.475;8651.8
11.700;8690.7
11.925;8729.0
12.150;8766.7
12.375;8803.8
12.600;8840.3
12.825;8876.1
13.050;8911.5
13.275;8946.2
13.500;8980.4
13.725;9014.0
13.950;9047.2
14.175;9079.7
14.400;9111.8
14.625;9143.3
14.850;9174.3
15.075;9204.8
15.300;9234.8
15.525;9264.3
15.750;9293.4
15.975;9322.0
16.200;9350.1
16.425;9377.8
16.650;9405.0
16.875;9431.7
17.100;9458.1
17.325;9484.0
17.550;9509.5
17.775;9534.5
18.000;9559.2
18.225;9583.4
18.450;9607.3
18.675;9630.8
18.900;9653.9
19.125;9676.5
19.350;9698.9
19.575;9720.8
19.800;9742.5
20.025;9763.7
20.250;9784.6
20.475;9805.1
20.700;9825.3
20.925;9845.2
21.150;9864.7
21.375;9883.9
21.600;9902.8
21.825;9921.4
22.050;9939.7
22.275;9957.6
22.500;9975.3
22.725;9992.6
22.950;10010
23.175;10026
23.400;10043
23.625;10059
23.850;10075
24.075;10091
24.300;10106
24.525;10121
24.750;10136
24.975;10151
25.200;10165
25.425;10179
25.650;10193
25.875;10207
26.100;10220
26.325;10234
26.550;10247
26.775;10259
27.000;10272
27.225;10284
27.450;10296
27.675;10308
27.900;10320
28.125;10331
28.350;10343
28.575;10354
28.800;10365
29.025;10375
29.250;10386
29.475;10396
29.700;10406
29.925;10416
30.150;10426
30.375;10436
30.600;10445
30.825;10454
31.050;10463
31.275;10472
31.500;10481
31.725;10490
31.950;10498
32.175;10507
32.400;10515
32.625;10523
32.850;10531
33.075;10538
33.300;10546
33.525;10553
33.750;10561
33.975;10568
34.200;10575
34.425;10582
34.650;10589
34.875;10595
35.100;10602
35.325;10608
35.550;10615
35.775;10621
36.000;10627
36.225;10633
36.450;10639
36.675;10644
36.900;10650
37.125;10656
37.350;10661
37.575;10666
37.800;10672
38.025;10677
38.250;10682
38.475;10687
38.700;10692
38.925;10696
39.150;10701
39.375;10706
39.600;10710
39.825;10714
40.050;10719
40.275;10723
40.500;10727
40.725;10731
40.950;10735
41.175;10739
41.400;10743
41.625;10747
41.850;10750
42.075;10754
42.300;10758
42.525;10761
42.750;10764
42.975;10768
43.200;10771
43.425;10774
43.650;10777
43.875;10781
44.100;10784
44.325;10786
44.550;10789
44.775;10792
45.000;10795
8.9918E-5;1.0327
0.22502;2584.4
0.45003;4809.4
0.67502;4919.1
0.90002;5018.1
1.1250;5111.6
1.3500;5200.3
1.5750;5285.4
1.8000;5367.7
2.0250;5447.4
2.2500;5525.0
2.4750;5600.5
2.7000;5674.3
2.9250;5746.4
3.1500;5817.0
3.3750;5886.3
3.6000;5954.3
3.8250;6020.9
4.0500;6086.4
4.2750;6150.7
4.5000;6213.8
4.7250;6275.8
4.9500;6336.8
5.1750;6396.8
5.4000;6455.8
5.6250;6513.9
5.8500;6571.1
6.0750;6627.3
6.3000;6682.6
6.5250;6737.1
6.7500;6790.7
6.9750;6843.5
7.2000;6895.4
7.4250;6946.5
7.6500;6996.8
7.8750;7046.3
8.1000;7095.1
8.3250;7143.1
8.5500;7190.4
8.7750;7237.0
9.0000;7282.9
9.2250;7328.1
9.4500;7372.6
9.6750;7416.4
9.9000;7459.6
10.125;7502.1
10.350;7543.9
10.575;7585.2
10.800;7625.8
11.025;7665.8
11.250;7705.2
11.475;7744.0
11.700;7782.2
11.925;7819.8
12.150;7857.0
12.375;7893.4
12.600;7929.5
12.825;7964.8
13.050;7999.8
13.275;8034.1
13.500;8068.0
13.725;8101.3
13.950;8134.2
14.175;8166.5
14.400;8198.5
14.625;8229.8
14.850;8260.8
15.075;8291.2
15.300;8321.2
15.525;8350.7
15.750;8379.8
15.975;8408.4
16.200;8436.7
16.425;8464.5
16.650;8491.9
16.875;8518.8
17.100;8545.4
17.325;8571.5
17.550;8597.3
17.775;8622.7
18.000;8647.6
18.225;8672.2
18.450;8696.4
18.675;8720.3
18.900;8743.8
19.125;8766.9
19.350;8789.7
19.575;8812.1
19.800;8834.2
20.025;8855.9
20.250;8877.3
20.475;8898.4
20.700;8919.1
20.925;8939.6
21.150;8959.7
21.375;8979.5
21.600;8999.0
21.825;9018.2
22.050;9037.1
22.275;9055.7
22.500;9074.1
22.725;9092.1
22.950;9109.8
23.175;9127.3
23.400;9144.5
23.625;9161.5
23.850;9178.1
24.075;9194.6
24.300;9210.7
24.525;9226.6
24.750;9242.3
24.975;9257.7
25.200;9272.8
25.425;9287.8
25.650;9302.4
25.875;9316.9
26.100;9331.1
26.325;9345.1
26.550;9358.9
26.775;9372.4
27.000;9385.8
27.225;9398.9
27.450;9411.8
27.675;9424.5
27.900;9437.0
28.125;9449.3
28.350;9461.5
28.575;9473.4
28.800;9485.1
29.025;9496.6
29.250;9508.0
29.475;9519.1
29.700;9530.1
29.925;9540.9
30.150;9551.5
30.375;9562.0
30.600;9572.2
30.825;9582.3
31.050;9592.3
31.275;9602.1
31.500;9611.7
31.725;9621.2
31.950;9630.5
32.175;9639.6
32.400;9648.6
32.625;9657.5
32.850;9666.2
33.075;9674.7
33.300;9683.1
33.525;9691.4
33.750;9699.5
33.975;9707.5
34.200;9715.4
34.425;9723.1
34.650;9730.7
34.875;9738.2
35.100;9745.6
35.325;9752.8
35.550;9759.9
35.775;9766.9
36.000;9773.7
36.225;9780.5
36.450;9787.1
36.675;9793.6
36.900;9800.0
37.125;9806.3
37.350;9812.5
37.575;9818.6
37.800;9824.6
38.025;9830.5
38.250;9836.2
38.475;9841.9
38.700;9847.5
38.925;9852.9
39.150;9858.3
39.375;9863.6
39.600;9868.8
39.825;9873.9
40.050;9878.9
40.275;9883.8
40.500;9888.7
40.725;9893.4
40.950;9898.1
41.175;9902.7
41.400;9907.2
41.625;9911.6
41.850;9915.9
42.075;9920.2
42.300;9924.4
42.525;9928.5
42.750;9932.6
42.975;9936.5
43.200;9940.4
43.425;9944.3
43.650;9948.0
43.875;9951.7
44.100;9955.3
44.325;9958.9
44.550;9962.4
44.775;9965.8
45.000;9969.2
8.9918E-5;1.0327
0.22502;2584.4
0.45002;4058.6
0.67502;4162.5
0.90001;4258.1
1.1250;4348.3
1.3500;4434.2
1.5750;4517.0
1.8000;4597.1
2.0250;4674.8
2.2500;4750.6
2.4750;4824.6
2.7000;4897.0
2.9250;4967.9
3.1500;5037.4
3.3750;5105.5
3.6000;5172.4
3.8250;5238.1
4.0500;5302.6
4.2750;5366.0
4.5000;5428.4
4.7250;5489.8
4.9500;5550.1
5.1750;5609.5
5.4000;5667.9
5.6250;5725.4
5.8500;5781.9
6.0750;5837.6
6.3000;5892.3
6.5250;5946.3
6.7500;5999.4
6.9750;6051.7
7.2000;6103.1
7.4250;6153.8
7.6500;6203.8
7.8750;6252.9
8.1000;6301.3
8.3250;6349.0
8.5500;6396.0
8.7750;6442.3
9.0000;6487.8
9.2250;6532.7
9.4500;6576.9
9.6750;6620.4
9.9000;6663.3
10.125;6705.6
10.350;6747.2
10.575;6788.2
10.800;6828.6
11.025;6868.4
11.250;6907.7
11.475;6946.2
11.700;6984.3
11.925;7021.7
12.150;7058.7
12.375;7095.0
12.600;7130.9
12.825;7166.2
13.050;7200.9
13.275;7235.2
13.500;7268.9
13.725;7302.2
13.950;7334.9
14.175;7367.2
14.400;7398.9
